Cage,Mouse #,Sex,Treatment,Date of Gavage,Date of Recorded Weight,ExpDay,Weight,Weight_percentage,Weight_percentage_gavage
13,1,Male,Bacteroides,12/6/23,11/14/23,-22,24.7,106,NA
13,1,Male,Bacteroides,12/6/23,11/15/23,-21,24.5,105,NA
13,1,Male,Bacteroides,12/6/23,11/17/23,-19,25,107,NA
13,1,Male,Bacteroides,12/6/23,11/20/23,-16,25.6,109,NA
13,1,Male,Bacteroides,12/6/23,11/21/23,-15,25.2,108,NA
13,1,Male,Bacteroides,12/6/23,11/24/23,-12,24.8,106,NA
13,1,Male,Bacteroides,12/6/23,11/25/23,-11,25.2,108,NA
13,1,Male,Bacteroides,12/6/23,11/26/23,-10,25.8,110,NA
13,1,Male,Bacteroides,12/6/23,11/27/23,-9,25.9,111,NA
13,1,Male,Bacteroides,12/6/23,11/29/23,-7,26.5,113,NA
13,1,Male,Bacteroides,12/6/23,12/4/23,-2,27.1,116,NA
13,1,Male,Bacteroides,12/6/23,12/6/23,0,28.1,120,100.00
13,1,Male,Bacteroides,12/6/23,12/7/23,1,27.2,116,96.80
13,1,Male,Bacteroides,12/6/23,12/8/23,2,27.5,118,97.86
13,1,Male,Bacteroides,12/6/23,12/9/23,3,27.2,116,96.80
13,1,Male,Bacteroides,12/6/23,12/11/23,5,26.9,115,95.73
13,1,Male,Bacteroides,12/6/23,12/13/23,7,27.3,117,97.15
13,1,Male,Bacteroides,12/6/23,12/14/23,8,27.3,117,97.15
13,1,Male,Bacteroides,12/6/23,12/16/23,10,28.4,121,101.07
13,1,Male,Bacteroides,12/6/23,12/18/23,12,27.8,119,98.93
13,1,Male,Bacteroides,12/6/23,12/19/23,13,27.7,118,98.58
13,1,Male,Bacteroides,12/6/23,12/20/23,14,25.2,108,89.68
